Run,Top_K,Method,Model,Accuracy,F1,ROC_AUC
5,10,DODA,XGB,1.0,1.0,1.0
5,15,ANOVA,LR,0.9875,0.98989898989899,1.0
5,15,ANOVA,RF,1.0,1.0,1.0
5,15,ANOVA,XGB,1.0,1.0,1.0
5,15,DODA,LR,0.975,0.9795918367346939,1.0
5,15,DODA,RF,1.0,1.0,1.0
5,15,DODA,XGB,1.0,1.0,1.0
5,20,ANOVA,LR,0.9875,0.98989898989899,1.0
5,20,ANOVA,RF,1.0,1.0,0.9999999999999999
5,20,ANOVA,XGB,1.0,1.0,1.0
5,20,DODA,LR,0.9875,0.98989898989899,1.0
5,20,DODA,RF,1.0,1.0,1.0
5,20,DODA,XGB,1.0,1.0,1.0
6,5,ANOVA,LR,0.9875,0.9900990099009901,0.9993333333333333
6,5,ANOVA,RF,0.9875,0.9900990099009901,0.9993333333333333
6,5,ANOVA,XGB,0.9625,0.9696969696969697,0.9986666666666666
6,5,DODA,LR,0.925,0.9361702127659575,0.9986666666666667
6,5,DODA,RF,0.9375,0.9473684210526315,0.9986666666666666
6,5,DODA,XGB,0.9875,0.98989898989899,0.9993333333333334
6,10,ANOVA,LR,1.0,1.0,1.0
6,10,ANOVA,RF,0.9875,0.98989898989899,1.0
6,10,ANOVA,XGB,0.975,0.9795918367346939,0.9986666666666667
6,10,DODA,LR,0.975,0.9795918367346939,1.0
6,10,DODA,RF,0.9875,0.98989898989899,0.9993333333333333
6,10,DODA,XGB,0.9625,0.9696969696969697,0.9986666666666667
6,15,ANOVA,LR,1.0,1.0,1.0
6,15,ANOVA,RF,0.9875,0.98989898989899,1.0
6,15,ANOVA,XGB,0.9875,0.9900990099009901,0.9993333333333333
6,15,DODA,LR,1.0,1.0,1.0
6,15,DODA,RF,0.9875,0.98989898989899,1.0
6,15,DODA,XGB,0.9875,0.98989898989899,1.0
6,20,ANOVA,LR,0.9875,0.98989898989899,1.0
6,20,ANOVA,RF,0.9875,0.98989898989899,1.0
6,20,ANOVA,XGB,0.9875,0.98989898989899,0.9993333333333333
6,20,DODA,LR,0.9875,0.98989898989899,1.0
6,20,DODA,RF,0.9875,0.98989898989899,0.9999999999999999
6,20,DODA,XGB,0.9875,0.98989898989899,0.9993333333333333
7,5,ANOVA,LR,1.0,1.0,1.0
7,5,ANOVA,RF,1.0,1.0,1.0
7,5,ANOVA,XGB,0.9875,0.9900990099009901,1.0
7,5,DODA,LR,0.9625,0.9690721649484536,0.983
7,5,DODA,RF,0.975,0.98,0.986
7,5,DODA,XGB,0.975,0.98,0.9896666666666667
7,10,ANOVA,LR,1.0,1.0,1.0
7,10,ANOVA,RF,1.0,1.0,1.0
7,10,ANOVA,XGB,0.9875,0.98989898989899,1.0
7,10,DODA,LR,0.9875,0.98989898989899,1.0
7,10,DODA,RF,1.0,1.0,1.0
7,10,DODA,XGB,1.0,1.0,1.0
7,15,ANOVA,LR,1.0,1.0,1.0
7,15,ANOVA,RF,1.0,1.0,1.0
7,15,ANOVA,XGB,1.0,1.0,1.0
7,15,DODA,LR,1.0,1.0,1.0
7,15,DODA,RF,1.0,1.0,1.0
7,15,DODA,XGB,1.0,1.0,1.0
7,20,ANOVA,LR,0.9875,0.98989898989899,1.0
7,20,ANOVA,RF,1.0,1.0,1.0
7,20,ANOVA,XGB,1.0,1.0,1.0
7,20,DODA,LR,0.9875,0.98989898989899,1.0
7,20,DODA,RF,1.0,1.0,1.0
7,20,DODA,XGB,1.0,1.0,1.0
8,5,ANOVA,LR,0.9625,0.9696969696969697,0.9930000000000001
8,5,ANOVA,RF,0.9875,0.9900990099009901,0.9983333333333333
8,5,ANOVA,XGB,0.975,0.98,0.9976666666666667
8,5,DODA,LR,0.9875,0.98989898989899,0.9993333333333333
8,5,DODA,RF,0.9875,0.9900990099009901,1.0
8,5,DODA,XGB,0.975,0.98,0.9993333333333333
8,10,ANOVA,LR,0.975,0.9795918367346939,1.0
8,10,ANOVA,RF,1.0,1.0,1.0
8,10,ANOVA,XGB,0.975,0.98,0.9993333333333333
8,10,DODA,LR,0.975,0.9795918367346939,1.0
8,10,DODA,RF,1.0,1.0,0.9999999999999999
8,10,DODA,XGB,0.975,0.98,0.9986666666666667
8,15,ANOVA,LR,0.975,0.9795918367346939,0.9993333333333333
8,15,ANOVA,RF,0.9875,0.9900990099009901,1.0
8,15,ANOVA,XGB,0.975,0.98,0.9953333333333333
8,15,DODA,LR,0.975,0.9795918367346939,0.9993333333333333
8,15,DODA,RF,0.9875,0.9900990099009901,1.0
8,15,DODA,XGB,0.975,0.98,0.996
8,20,ANOVA,LR,0.975,0.9795918367346939,1.0
8,20,ANOVA,RF,0.9875,0.9900990099009901,1.0
8,20,ANOVA,XGB,0.975,0.98,0.9953333333333334
8,20,DODA,LR,0.975,0.9795918367346939,1.0
8,20,DODA,RF,0.9875,0.9900990099009901,1.0
8,20,DODA,XGB,0.975,0.98,0.996
9,5,ANOVA,LR,0.9625,0.9690721649484536,0.988
9,5,ANOVA,RF,1.0,1.0,1.0
9,5,ANOVA,XGB,0.9875,0.98989898989899,1.0
9,5,DODA,LR,0.95,0.9583333333333334,0.9966666666666667
9,5,DODA,RF,0.975,0.9795918367346939,1.0
9,5,DODA,XGB,1.0,1.0,1.0
9,10,ANOVA,LR,0.9875,0.98989898989899,1.0
9,10,ANOVA,RF,1.0,1.0,1.0
9,10,ANOVA,XGB,1.0,1.0,1.0
9,10,DODA,LR,0.9875,0.98989898989899,1.0
9,10,DODA,RF,1.0,1.0,1.0
9,10,DODA,XGB,1.0,1.0,1.0
9,15,ANOVA,LR,0.9875,0.98989898989899,1.0
9,15,ANOVA,RF,1.0,1.0,1.0
9,15,ANOVA,XGB,1.0,1.0,1.0
9,15,DODA,LR,0.9875,0.98989898989899,1.0
9,15,DODA,RF,1.0,1.0,1.0
9,15,DODA,XGB,1.0,1.0,1.0
9,20,ANOVA,LR,1.0,1.0,1.0
9,20,ANOVA,RF,1.0,1.0,1.0
9,20,ANOVA,XGB,1.0,1.0,1.0
9,20,DODA,LR,1.0,1.0,1.0
9,20,DODA,RF,1.0,1.0,1.0
9,20,DODA,XGB,1.0,1.0,1.0
10,5,ANOVA,LR,0.975,0.9795918367346939,0.9986666666666667
10,5,ANOVA,RF,0.975,0.9795918367346939,0.9986666666666667
10,5,ANOVA,XGB,0.975,0.9803921568627451,0.9986666666666666
10,5,DODA,LR,0.925,0.9361702127659575,0.9926666666666667
10,5,DODA,RF,0.9625,0.9702970297029703,0.9923333333333333
10,5,DODA,XGB,0.95,0.96,0.9826666666666666
10,10,ANOVA,LR,0.9875,0.98989898989899,1.0
10,10,ANOVA,RF,0.975,0.9803921568627451,0.998
10,10,ANOVA,XGB,0.9625,0.9702970297029703,0.9953333333333333
10,10,DODA,LR,0.9875,0.98989898989899,1.0
10,10,DODA,RF,0.9875,0.9900990099009901,0.9976666666666667
10,10,DODA,XGB,0.9625,0.9702970297029703,0.996
10,15,ANOVA,LR,0.975,0.9795918367346939,1.0
10,15,ANOVA,RF,0.975,0.9803921568627451,0.9993333333333333
10,15,ANOVA,XGB,0.9625,0.9702970297029703,0.9973333333333333
10,15,DODA,LR,0.9875,0.98989898989899,1.0
10,15,DODA,RF,0.975,0.9803921568627451,1.0
10,15,DODA,XGB,0.975,0.9803921568627451,1.0
10,20,ANOVA,LR,0.9875,0.98989898989899,1.0
10,20,ANOVA,RF,0.9875,0.9900990099009901,1.0
10,20,ANOVA,XGB,0.975,0.9803921568627451,0.9993333333333333
10,20,DODA,LR,0.9875,0.98989898989899,1.0
10,20,DODA,RF,0.9875,0.9900990099009901,1.0
10,20,DODA,XGB,0.975,0.9803921568627451,0.9993333333333334
11,5,ANOVA,LR,1.0,1.0,1.0
11,5,ANOVA,RF,1.0,1.0,1.0
11,5,ANOVA,XGB,1.0,1.0,1.0
11,5,DODA,LR,1.0,1.0,1.0
11,5,DODA,RF,1.0,1.0,1.0
11,5,DODA,XGB,1.0,1.0,1.0
11,10,ANOVA,LR,0.975,0.9795918367346939,1.0
11,10,ANOVA,RF,1.0,1.0,1.0
11,10,ANOVA,XGB,0.9875,0.98989898989899,1.0
11,10,DODA,LR,0.9875,0.98989898989899,1.0
11,10,DODA,RF,1.0,1.0,1.0
11,10,DODA,XGB,0.9875,0.98989898989899,1.0
11,15,ANOVA,LR,0.9875,0.98989898989899,1.0
11,15,ANOVA,RF,1.0,1.0,1.0
11,15,ANOVA,XGB,1.0,1.0,1.0
11,15,DODA,LR,0.9875,0.98989898989899,1.0
11,15,DODA,RF,1.0,1.0,1.0
11,15,DODA,XGB,1.0,1.0,1.0
11,20,ANOVA,LR,0.9875,0.98989898989899,1.0
11,20,ANOVA,RF,1.0,1.0,1.0
11,20,ANOVA,XGB,1.0,1.0,1.0
11,20,DODA,LR,1.0,1.0,1.0
11,20,DODA,RF,1.0,1.0,1.0
11,20,DODA,XGB,1.0,1.0,1.0
12,5,ANOVA,LR,0.975,0.98,0.9966666666666667
12,5,ANOVA,RF,0.975,0.9803921568627451,0.9986666666666667
12,5,ANOVA,XGB,0.9625,0.9702970297029703,0.9973333333333334
12,5,DODA,LR,0.975,0.9795918367346939,0.9993333333333333
12,5,DODA,RF,0.975,0.9795918367346939,0.9993333333333333
12,5,DODA,XGB,0.975,0.9803921568627451,0.998
12,10,ANOVA,LR,0.9875,0.98989898989899,1.0
12,10,ANOVA,RF,0.9875,0.9900990099009901,1.0
12,10,ANOVA,XGB,0.9625,0.9702970297029703,0.9973333333333334
12,10,DODA,LR,0.9875,0.98989898989899,1.0
12,10,DODA,RF,1.0,1.0,1.0
12,10,DODA,XGB,0.9625,0.9702970297029703,0.998
12,15,ANOVA,LR,0.9875,0.98989898989899,1.0
12,15,ANOVA,RF,0.975,0.9803921568627451,1.0
12,15,ANOVA,XGB,0.975,0.9803921568627451,0.9913333333333334
12,15,DODA,LR,0.9875,0.98989898989899,1.0
12,15,DODA,RF,0.975,0.9803921568627451,1.0
12,15,DODA,XGB,0.9625,0.9702970297029703,0.9953333333333334
12,20,ANOVA,LR,0.9875,0.98989898989899,1.0
12,20,ANOVA,RF,0.9875,0.9900990099009901,1.0
12,20,ANOVA,XGB,0.975,0.9803921568627451,0.996
12,20,DODA,LR,0.9875,0.98989898989899,1.0
12,20,DODA,RF,0.9875,0.9900990099009901,1.0
12,20,DODA,XGB,0.975,0.9803921568627451,0.9953333333333334
13,5,ANOVA,LR,0.975,0.98,0.9916666666666667
13,5,ANOVA,RF,0.9875,0.9900990099009901,0.999
13,5,ANOVA,XGB,0.9875,0.9900990099009901,0.9983333333333334
13,5,DODA,LR,0.975,0.9795918367346939,0.999
13,5,DODA,RF,0.975,0.98,0.9989999999999999
13,5,DODA,XGB,0.9625,0.9696969696969697,0.9983333333333333
13,10,ANOVA,LR,1.0,1.0,1.0
13,10,ANOVA,RF,0.9875,0.9900990099009901,1.0
13,10,ANOVA,XGB,0.9875,0.9900990099009901,0.9993333333333333
13,10,DODA,LR,1.0,1.0,1.0
13,10,DODA,RF,0.9875,0.9900990099009901,1.0
13,10,DODA,XGB,0.9875,0.9900990099009901,0.9993333333333333
13,15,ANOVA,LR,1.0,1.0,1.0
13,15,ANOVA,RF,1.0,1.0,1.0
13,15,ANOVA,XGB,1.0,1.0,1.0
13,15,DODA,LR,1.0,1.0,1.0
13,15,DODA,RF,1.0,1.0,1.0
13,15,DODA,XGB,1.0,1.0,1.0
13,20,ANOVA,LR,1.0,1.0,1.0
13,20,ANOVA,RF,1.0,1.0,1.0
13,20,ANOVA,XGB,1.0,1.0,1.0
13,20,DODA,LR,1.0,1.0,1.0
13,20,DODA,RF,1.0,1.0,1.0
13,20,DODA,XGB,1.0,1.0,1.0
14,5,ANOVA,LR,0.9625,0.9690721649484536,0.9933333333333333
14,5,ANOVA,RF,0.975,0.98,0.9986666666666667
14,5,ANOVA,XGB,0.9625,0.9696969696969697,0.9973333333333334
14,5,DODA,LR,0.9125,0.9247311827956989,0.979
14,5,DODA,RF,0.9375,0.9494949494949495,0.981
14,5,DODA,XGB,0.925,0.9375,0.9776666666666667
14,10,ANOVA,LR,0.9875,0.98989898989899,1.0
14,10,ANOVA,RF,0.9875,0.98989898989899,1.0
14,10,ANOVA,XGB,0.9625,0.9696969696969697,0.9966666666666667
14,10,DODA,LR,0.9875,0.98989898989899,1.0
14,10,DODA,RF,0.975,0.98,0.9993333333333334
14,10,DODA,XGB,0.9625,0.9696969696969697,0.9946666666666667
14,15,ANOVA,LR,0.9625,0.9690721649484536,1.0
14,15,ANOVA,RF,0.9875,0.98989898989899,1.0
14,15,ANOVA,XGB,0.975,0.98,0.9973333333333334
14,15,DODA,LR,0.975,0.9795918367346939,1.0
14,15,DODA,RF,0.9875,0.98989898989899,1.0
14,15,DODA,XGB,0.975,0.9795918367346939,0.9973333333333334
14,20,ANOVA,LR,0.9875,0.98989898989899,1.0
14,20,ANOVA,RF,0.9875,0.98989898989899,1.0
14,20,ANOVA,XGB,0.975,0.9795918367346939,0.9993333333333333
14,20,DODA,LR,0.9875,0.98989898989899,1.0
14,20,DODA,RF,0.9875,0.98989898989899,1.0
14,20,DODA,XGB,0.975,0.9795918367346939,0.9993333333333333
15,5,ANOVA,LR,0.975,0.9795918367346939,0.997
15,5,ANOVA,RF,0.9875,0.98989898989899,0.9996666666666666
15,5,ANOVA,XGB,0.975,0.98,0.9983333333333333
15,5,DODA,LR,0.9625,0.9690721649484536,0.999
15,5,DODA,RF,0.9875,0.9900990099009901,0.9983333333333333
15,5,DODA,XGB,0.975,0.98,0.9976666666666666
15,10,ANOVA,LR,0.9875,0.98989898989899,1.0
15,10,ANOVA,RF,0.9875,0.9900990099009901,0.9993333333333334
15,10,ANOVA,XGB,0.9875,0.9900990099009901,0.9993333333333333
15,10,DODA,LR,0.975,0.9795918367346939,0.9993333333333333
15,10,DODA,RF,0.9875,0.9900990099009901,1.0
15,10,DODA,XGB,0.9875,0.98989898989899,1.0
15,15,ANOVA,LR,1.0,1.0,1.0
15,15,ANOVA,RF,1.0,1.0,1.0
15,15,ANOVA,XGB,0.9875,0.9900990099009901,1.0
15,15,DODA,LR,1.0,1.0,1.0
15,15,DODA,RF,0.9875,0.9900990099009901,1.0
15,15,DODA,XGB,0.9875,0.9900990099009901,1.0
15,20,ANOVA,LR,0.9875,0.98989898989899,1.0
15,20,ANOVA,RF,0.9875,0.9900990099009901,1.0
15,20,ANOVA,XGB,0.975,0.98,0.9993333333333333
15,20,DODA,LR,0.9875,0.98989898989899,1.0
15,20,DODA,RF,0.9875,0.9900990099009901,1.0
