Top_K,Method,Model,Acc_Mean,Acc_STD,F1_Mean,F1_STD,AUC_Mean,AUC_STD
5,DODA,LR,0.9555,0.024227652933511073,0.9636178894332833,0.020430880250005064,0.9892266666666667,0.011462790042374316
5,DODA,RF,0.9690000000000001,0.021077733116569578,0.9745555027427792,0.017791088387066167,0.9910800000000001,0.008503419791363275
5,DODA,XGB,0.9590000000000001,0.022969635753896205,0.9666412228247322,0.019173974228471165,0.9894533333333334,0.010091195282136907
5,LASSO,LR,0.9555,0.024227652933511073,0.9636178894332833,0.020430880250005064,0.9892266666666667,0.011462790042374316
5,LASSO,RF,0.9690000000000001,0.021984843263788207,0.9746252163261232,0.01848605630806948,0.9910133333333333,0.0089522809011633
5,LASSO,XGB,0.96,0.02282177322938192,0.9674649852009698,0.019071336804217055,0.9896133333333332,0.009681349003032521
10,DODA,LR,0.9665,0.01681703005884216,0.9726917294216493,0.01393620004672514,0.9942933333333334,0.00679891058811519
10,DODA,RF,0.9804999999999999,0.014469796128487799,0.9843053707531618,0.0116924522196569,0.9989333333333333,0.0011824331474329383
10,DODA,XGB,0.9765,0.0177951304200522,0.9810593725373674,0.014503578508020885,0.9978666666666666,0.002357022603955151
10,LASSO,LR,0.9575,0.02602082499332667,0.9650953527698488,0.021969058005301155,0.9929066666666667,0.008887944394265504
10,LASSO,RF,0.9790000000000001,0.016024070435857848,0.9830752375357583,0.013018191921793022,0.9986400000000001,0.001484238175955251
10,LASSO,XGB,0.9775,0.01692508000965826,0.9819332405169093,0.013648480436181458,0.99776,0.002515728301881741
15,DODA,LR,0.9754999999999999,0.014648663192705804,0.9799678136296692,0.01218281166854321,0.99592,0.00593270908076882
15,DODA,RF,0.9860000000000001,0.012140668570277883,0.9887662315331173,0.009754612391198278,0.9994666666666667,0.0006938886664887109
15,DODA,XGB,0.9804999999999999,0.017335536718928957,0.9842833134808622,0.014185484100414847,0.9977866666666667,0.0025511072396408826
15,LASSO,LR,0.9804999999999999,0.014012643100666874,0.9841077764919349,0.011583796608675026,0.9990933333333334,0.0010866189491908916
15,LASSO,RF,0.9904999999999999,0.010992421631894103,0.9923868335933232,0.008819003687047348,0.9997866666666667,0.00031739681904631456
15,LASSO,XGB,0.9865,0.012970318680227823,0.9891459247096726,0.010473462360774953,0.9989333333333333,0.001503083250940971
20,DODA,LR,0.9915,0.011250000000000001,0.9930733380512468,0.009208736293564347,0.9998666666666667,0.0003333333333333309
20,DODA,RF,0.992,0.008749999999999994,0.9936312878346658,0.006960464532331497,0.99984,0.00029059326290272364
20,DODA,XGB,0.9875,0.012500000000000004,0.9900104406599124,0.009978153949917041,0.9988800000000001,0.0016298148042941428
20,LASSO,LR,0.9840000000000001,0.012767961205037143,0.9869457663207936,0.010502824574917767,0.99968,0.0005135208892573841
20,LASSO,RF,0.9915,0.00935414346693485,0.993243013713136,0.007421203512557133,0.9998133333333334,0.00030550504633039603
20,LASSO,XGB,0.987,0.012747548783981967,0.9896144810639527,0.010177184963703926,0.9989066666666667,0.001608772248687831
