Top_K,Model,Metric,ANOVA_Mean,DODA_Mean,DODA_minus_ANOVA,Difference_STD,Cohens_d,Wilcoxon_Statistic,p_value,Direction,Significance
5,Logistic Regression,Accuracy,0.8381967213114754,0.8315300546448088,-0.006666666666666665,0.014907119849998594,-0.447213595499958,0.0,1.0,ANOVA better,Not significant
5,Logistic Regression,Precision,0.85209606735094,0.8444037596586323,-0.0076923076923076875,0.017200522903844526,-0.4472135954999579,0.0,1.0,ANOVA better,Not significant
5,Logistic Regression,Recall,0.7841269841269841,0.7767195767195767,-0.007407407407407418,0.01656346649999847,-0.44721359549995787,0.0,1.0,ANOVA better,Not significant
5,Logistic Regression,F1,0.8152933321284277,0.8077461623171068,-0.007547169811320753,0.016875984735847463,-0.44721359549995804,0.0,1.0,ANOVA better,Not significant
5,Logistic Regression,ROC_AUC,0.8940877024210356,0.8954345037678371,0.0013468013468013406,0.0030115393636360667,0.4472135954999579,0.0,1.0,DODA better,Not significant
5,Random Forest,Accuracy,0.7720218579234973,0.7885792349726776,0.016557377049180366,0.020190498887701868,0.8200578470730877,1.5,0.1875,DODA better,Not significant
5,Random Forest,Precision,0.7617771883289126,0.7889771959898187,0.0272000076609062,0.03725655650455277,0.7300730451989663,2.0,0.1875,DODA better,Not significant
5,Random Forest,Recall,0.7338624338624338,0.7410052910052911,0.00714285714285714,0.01597191412499849,0.4472135954999579,0.0,1.0,DODA better,Not significant
5,Random Forest,F1,0.7459274670725549,0.7616265009684751,0.015699033895920155,0.017668982943655896,0.8885080678374271,2.0,0.1875,DODA better,Not significant
5,Random Forest,ROC_AUC,0.8670510912698413,0.8706598474827641,0.0036087562129228923,0.009944133692774786,0.36290302648937073,3.0,1.0,DODA better,Not significant
5,XGBoost,Accuracy,0.7884699453551913,0.7918579234972677,0.0033879781420764975,0.02448185009764926,0.13838734117573126,2.0,0.75,DODA better,Not significant
5,XGBoost,Precision,0.7861318681318682,0.7949020544672718,0.00877018633540374,0.03717092130583424,0.2359421296890803,2.0,0.75,DODA better,Not significant
5,XGBoost,Recall,0.7404761904761904,0.741005291005291,0.0005291005291005347,0.044823512583367454,0.011804084477236321,3.0,1.0,DODA better,Not significant
5,XGBoost,F1,0.7623290406309273,0.7656945492128623,0.003365508581934784,0.030482433785725013,0.11040813228997674,2.0,0.75,DODA better,Not significant
5,XGBoost,ROC_AUC,0.8633858425525093,0.8723404681738016,0.008954625621292322,0.018326379585088915,0.4886194558895947,1.0,0.5,DODA better,Not significant
8,Logistic Regression,Accuracy,0.8381967213114754,0.8348633879781421,-0.0033333333333333435,0.007453559924999322,-0.4472135954999579,0.0,1.0,ANOVA better,Not significant
8,Logistic Regression,Precision,0.8534944438450751,0.851172990427863,-0.002321453417212016,0.029109398052954268,-0.0797492759207508,3.0,0.625,ANOVA better,Not significant
