Top_K,Mean_Jaccard,Std_Jaccard,Min_Jaccard,Max_Jaccard
5,0.7158730158730159,0.174381033069709,0.42857142857142855,1.0
8,0.8785185185185185,0.11081094100410102,0.7777777777777778,1.0
10,0.8927272727272727,0.08957365132437836,0.8181818181818182,1.0
13,1.0,0.0,1.0,1.0
