Run,Top_K,Method,Model,Accuracy,F1,ROC_AUC
5,15,ANOVA,XGB,1.0,1.0,1.0
5,15,DODA,LR,1.0,1.0,1.0
5,15,DODA,RF,1.0,1.0,1.0
5,15,DODA,XGB,1.0,1.0,1.0
5,20,ANOVA,LR,1.0,1.0,1.0
5,20,ANOVA,RF,1.0,1.0,1.0
5,20,ANOVA,XGB,1.0,1.0,1.0
5,20,DODA,LR,1.0,1.0,1.0
5,20,DODA,RF,1.0,1.0,1.0
5,20,DODA,XGB,1.0,1.0,1.0
6,5,ANOVA,LR,1.0,1.0,1.0
6,5,ANOVA,RF,1.0,1.0,1.0
6,5,ANOVA,XGB,1.0,1.0,1.0
6,5,DODA,LR,0.96875,0.9411764705882353,1.0
6,5,DODA,RF,1.0,1.0,1.0
6,5,DODA,XGB,1.0,1.0,1.0
6,10,ANOVA,LR,1.0,1.0,1.0
6,10,ANOVA,RF,1.0,1.0,1.0
6,10,ANOVA,XGB,1.0,1.0,1.0
6,10,DODA,LR,1.0,1.0,1.0
6,10,DODA,RF,1.0,1.0,1.0
6,10,DODA,XGB,1.0,1.0,1.0
6,15,ANOVA,LR,1.0,1.0,1.0
6,15,ANOVA,RF,1.0,1.0,1.0
6,15,ANOVA,XGB,1.0,1.0,1.0
6,15,DODA,LR,1.0,1.0,1.0
6,15,DODA,RF,1.0,1.0,1.0
6,15,DODA,XGB,1.0,1.0,1.0
6,20,ANOVA,LR,1.0,1.0,1.0
6,20,ANOVA,RF,1.0,1.0,1.0
6,20,ANOVA,XGB,1.0,1.0,1.0
6,20,DODA,LR,1.0,1.0,1.0
6,20,DODA,RF,1.0,1.0,1.0
6,20,DODA,XGB,1.0,1.0,1.0
7,5,ANOVA,LR,1.0,1.0,1.0
7,5,ANOVA,RF,1.0,1.0,1.0
7,5,ANOVA,XGB,1.0,1.0,1.0
7,5,DODA,LR,1.0,1.0,1.0
7,5,DODA,RF,1.0,1.0,1.0
7,5,DODA,XGB,1.0,1.0,1.0
7,10,ANOVA,LR,1.0,1.0,1.0
7,10,ANOVA,RF,1.0,1.0,1.0
7,10,ANOVA,XGB,1.0,1.0,1.0
7,10,DODA,LR,1.0,1.0,1.0
7,10,DODA,RF,1.0,1.0,1.0
7,10,DODA,XGB,1.0,1.0,1.0
7,15,ANOVA,LR,0.96875,0.9411764705882353,1.0
7,15,ANOVA,RF,1.0,1.0,1.0
7,15,ANOVA,XGB,1.0,1.0,1.0
7,15,DODA,LR,0.96875,0.9411764705882353,1.0
7,15,DODA,RF,1.0,1.0,1.0
7,15,DODA,XGB,1.0,1.0,1.0
7,20,ANOVA,LR,1.0,1.0,1.0
7,20,ANOVA,RF,1.0,1.0,1.0
7,20,ANOVA,XGB,1.0,1.0,1.0
7,20,DODA,LR,1.0,1.0,1.0
7,20,DODA,RF,1.0,1.0,1.0
7,20,DODA,XGB,1.0,1.0,1.0
8,5,ANOVA,LR,1.0,1.0,1.0
8,5,ANOVA,RF,0.96875,0.9411764705882353,1.0
8,5,ANOVA,XGB,1.0,1.0,1.0
8,5,DODA,LR,1.0,1.0,1.0
8,5,DODA,RF,0.96875,0.9411764705882353,1.0
8,5,DODA,XGB,1.0,1.0,1.0
8,10,ANOVA,LR,1.0,1.0,1.0
8,10,ANOVA,RF,1.0,1.0,1.0
8,10,ANOVA,XGB,1.0,1.0,1.0
8,10,DODA,LR,1.0,1.0,1.0
8,10,DODA,RF,1.0,1.0,1.0
8,10,DODA,XGB,1.0,1.0,1.0
8,15,ANOVA,LR,1.0,1.0,1.0
8,15,ANOVA,RF,1.0,1.0,1.0
8,15,ANOVA,XGB,1.0,1.0,1.0
8,15,DODA,LR,1.0,1.0,1.0
8,15,DODA,RF,1.0,1.0,1.0
8,15,DODA,XGB,1.0,1.0,1.0
8,20,ANOVA,LR,1.0,1.0,1.0
8,20,ANOVA,RF,1.0,1.0,1.0
8,20,ANOVA,XGB,1.0,1.0,1.0
8,20,DODA,LR,1.0,1.0,1.0
8,20,DODA,RF,1.0,1.0,1.0
8,20,DODA,XGB,1.0,1.0,1.0
9,5,ANOVA,LR,0.967741935483871,0.9333333333333333,1.0
9,5,ANOVA,RF,0.967741935483871,0.9333333333333333,1.0
9,5,ANOVA,XGB,0.967741935483871,0.9333333333333333,1.0
9,5,DODA,LR,0.967741935483871,0.9333333333333333,1.0
