Top-K,Method,Mean ± SD
5,ANOVA,1.0000 ± 0.0000
5,DODA,1.0000 ± 0.0000
10,ANOVA,0.9715 ± 0.0662
10,DODA,0.9855 ± 0.0494
15,ANOVA,1.0000 ± 0.0000
15,DODA,1.0000 ± 0.0000
20,ANOVA,1.0000 ± 0.0000
20,DODA,1.0000 ± 0.0000
