Method,Top-K,Model,Metric,Mean,SD,Mean ± SD
DODA,5,Logistic Regression,Recall,0.128814467365543,0.0034139868791970875,0.1288 ± 0.0034
DODA,5,Logistic Regression,F1,0.20805814359787766,0.004349733961877309,0.2081 ± 0.0043
DODA,5,Logistic Regression,ROC-AUC,0.7877966980942226,0.0035877320757526773,0.7878 ± 0.0036
DODA,5,Random Forest,Accuracy,0.8506018135178733,0.0006929404877408316,0.8506 ± 0.0007
DODA,5,Random Forest,Precision,0.550668870212958,0.010280728378417626,0.5507 ± 0.0103
DODA,5,Random Forest,Recall,0.12627870058843133,0.003834174201605276,0.1263 ± 0.0038
DODA,5,Random Forest,F1,0.2054184654600144,0.00526888640862391,0.2054 ± 0.0053
DODA,5,Random Forest,ROC-AUC,0.7852147312336012,0.0034557108509840977,0.7852 ± 0.0035
DODA,5,XGBoost,Accuracy,0.8517697055601815,0.0010647005684526689,0.8518 ± 0.0011
DODA,5,XGBoost,Precision,0.5706344301840056,0.017259749963608614,0.5706 ± 0.0173
DODA,5,XGBoost,Recall,0.12491106151029216,0.004509755260996846,0.1249 ± 0.0045
DODA,5,XGBoost,F1,0.20492088314570536,0.0065201856630899896,0.2049 ± 0.0065
DODA,5,XGBoost,ROC-AUC,0.7930315222091355,0.0033502428505212743,0.7930 ± 0.0034
DODA,10,Logistic Regression,Accuracy,0.849865346717358,0.0004682478760050106,0.8499 ± 0.0005
DODA,10,Logistic Regression,Precision,0.5349420625821913,0.006239931828039212,0.5349 ± 0.0062
DODA,10,Logistic Regression,Recall,0.140980728336477,0.002386359497940269,0.1410 ± 0.0024
DODA,10,Logistic Regression,F1,0.2231357331304765,0.0028963248192075386,0.2231 ± 0.0029
DODA,10,Logistic Regression,ROC-AUC,0.8020398738858988,0.003182124853029017,0.8020 ± 0.0032
DODA,10,Random Forest,Accuracy,0.8327915201915689,0.0013047926065460663,0.8328 ± 0.0013
DODA,10,Random Forest,Precision,0.41306576481726076,0.006049584315444058,0.4131 ± 0.0060
DODA,10,Random Forest,Recall,0.2212726669045233,0.004592053638711344,0.2213 ± 0.0046
DODA,10,Random Forest,F1,0.2881349972758097,0.003861420262001528,0.2881 ± 0.0039
DODA,10,Random Forest,ROC-AUC,0.7476333237714738,0.0032821828508695144,0.7476 ± 0.0033
DODA,10,XGBoost,Accuracy,0.8533385085569251,0.001307957057520474,0.8533 ± 0.0013
DODA,10,XGBoost,Precision,0.576646320715987,0.015386075299665285,0.5766 ± 0.0154
DODA,10,XGBoost,Recall,0.1543438546330696,0.0061406422479130226,0.1543 ± 0.0061
DODA,10,XGBoost,F1,0.24349802038114793,0.008913260664783615,0.2435 ± 0.0089
DODA,10,XGBoost,ROC-AUC,0.8107849288587197,0.0027889102110426724,0.8108 ± 0.0028
DODA,15,Logistic Regression,Accuracy,0.8498914925018486,0.0005238359871532161,0.8499 ± 0.0005
DODA,15,Logistic Regression,Precision,0.5348190754932242,0.006859362985286134,0.5348 ± 0.0069
DODA,15,Logistic Regression,Recall,0.14274730899321297,0.0024161138578740905,0.1427 ± 0.0024
DODA,15,Logistic Regression,F1,0.2253331394896258,0.0030288256307025095,0.2253 ± 0.0030
DODA,15,Logistic Regression,ROC-AUC,0.8038680005842727,0.0031753723133727675,0.8039 ± 0.0032
DODA,15,Random Forest,Accuracy,0.8394284285866978,0.0007676292714617666,0.8394 ± 0.0008
DODA,15,Random Forest,Precision,0.4412081851618856,0.005754484689659533,0.4412 ± 0.0058
DODA,15,Random Forest,Recall,0.1870530740939631,0.0036727831965717595,0.1871 ± 0.0037
DODA,15,Random Forest,F1,0.26271044707573654,0.004249141166502369,0.2627 ± 0.0042
DODA,15,Random Forest,ROC-AUC,0.7644247059844365,0.003026426955180957,0.7644 ± 0.0030
DODA,15,XGBoost,Accuracy,0.8531729136509296,0.0013103839654450735,0.8532 ± 0.0013
DODA,15,XGBoost,Precision,0.5725913542981879,0.014536210322133697,0.5726 ± 0.0145
DODA,15,XGBoost,Recall,0.1573926529903165,0.006935333204664099,0.1574 ± 0.0069
DODA,15,XGBoost,F1,0.24689856056424375,0.009856874559365894,0.2469 ± 0.0099
DODA,15,XGBoost,ROC-AUC,0.8131181489493514,0.0027155344312403966,0.8131 ± 0.0027
DODA,20,Logistic Regression,Accuracy,0.8504013556668306,0.000701769544313769,0.8504 ± 0.0007
DODA,20,Logistic Regression,Precision,0.5393361557976546,0.00855382022329039,0.5393 ± 0.0086
DODA,20,Logistic Regression,Recall,0.15026931377551125,0.0023159304615569132,0.1503 ± 0.0023
DODA,20,Logistic Regression,F1,0.23503909466709022,0.0032098283075191994,0.2350 ± 0.0032
DODA,20,Logistic Regression,ROC-AUC,0.8069670116735381,0.003007328761791181,0.8070 ± 0.0030
DODA,20,Random Forest,Accuracy,0.8431717730279658,0.0011066950296909326,0.8432 ± 0.0011
DODA,20,Random Forest,Precision,0.4651990547018481,0.009762243724920728,0.4652 ± 0.0098
DODA,20,Random Forest,Recall,0.16978680577626298,0.005917171433734756,0.1698 ± 0.0059
DODA,20,Random Forest,F1,0.24875048248111184,0.007403359454894385,0.2488 ± 0.0074
DODA,20,Random Forest,ROC-AUC,0.7782075715316354,0.0022142258753589687,0.7782 ± 0.0022
DODA,20,XGBoost,Accuracy,0.853948600694905,0.001283976412516834,0.8539 ± 0.0013
DODA,20,XGBoost,Precision,0.5800491020900111,0.014646292932069087,0.5800 ± 0.0146
DODA,20,XGBoost,Recall,0.16323349849350705,0.005838306738669654,0.1632 ± 0.0058
DODA,20,XGBoost,F1,0.2547544730053422,0.008297015689508398,0.2548 ± 0.0083
DODA,20,XGBoost,ROC-AUC,0.8161112410237857,0.002601834233642289,0.8161 ± 0.0026
