Top-K,Model,Metric,ANOVA Mean,DODA Mean,Difference (DODA − ANOVA),Cohen's d,Wilcoxon p,Holm-adjusted p,Better Method
8,LR,ROC_AUC,0.9029,0.896,-0.0069,-0.8179,0.0005,0.0327,ANOVA
5,XGB,ROC_AUC,0.8628,0.8822,0.0194,0.7279,0.0008,0.0463,DODA
