Method,Top-K,Model,Metric,Mean,SD,Mean ± SD
DODA,5,Logistic Regression,Recall,0.7767195767195767,0.06977685621882955,0.7767 ± 0.0698
DODA,5,Logistic Regression,F1,0.8077461623171068,0.04537070290583801,0.8077 ± 0.0454
DODA,5,Logistic Regression,ROC-AUC,0.8954345037678371,0.0289612345063493,0.8954 ± 0.0290
DODA,5,Random Forest,Accuracy,0.7885792349726776,0.031244695569396762,0.7886 ± 0.0312
DODA,5,Random Forest,Precision,0.7889771959898187,0.04797323683493447,0.7890 ± 0.0480
DODA,5,Random Forest,Recall,0.741005291005291,0.07732383819056655,0.7410 ± 0.0773
DODA,5,Random Forest,F1,0.7616265009684751,0.04110776273356351,0.7616 ± 0.0411
DODA,5,Random Forest,ROC-AUC,0.8706598474827641,0.03671278324986463,0.8707 ± 0.0367
DODA,5,XGBoost,Accuracy,0.7918579234972678,0.03584466205926166,0.7919 ± 0.0358
DODA,5,XGBoost,Precision,0.7949020544672718,0.058013451540431304,0.7949 ± 0.0580
DODA,5,XGBoost,Recall,0.741005291005291,0.04639445376632885,0.7410 ± 0.0464
DODA,5,XGBoost,F1,0.7656945492128622,0.03765763839189422,0.7657 ± 0.0377
DODA,5,XGBoost,ROC-AUC,0.8723404681738016,0.028933818761042826,0.8723 ± 0.0289
DODA,8,Logistic Regression,Accuracy,0.8348633879781421,0.03760013554759834,0.8349 ± 0.0376
DODA,8,Logistic Regression,Precision,0.851172990427863,0.04628781364073949,0.8512 ± 0.0463
DODA,8,Logistic Regression,Recall,0.7767195767195767,0.06977685621882954,0.7767 ± 0.0698
DODA,8,Logistic Regression,F1,0.8108209352032005,0.04647696285556993,0.8108 ± 0.0465
DODA,8,Logistic Regression,ROC-AUC,0.9003710217251883,0.025883082160157618,0.9004 ± 0.0259
DODA,8,Random Forest,Accuracy,0.831584699453552,0.030334391067494543,0.8316 ± 0.0303
DODA,8,Random Forest,Precision,0.8499487629922413,0.039470620993236775,0.8499 ± 0.0395
DODA,8,Random Forest,Recall,0.769047619047619,0.06443985048916365,0.7690 ± 0.0644
