Method,Top_K,Mean_Kuncheva,Std_Kuncheva,Min_Kuncheva,Max_Kuncheva
RF,5,0.814745945945946,0.1327429495693811,0.52,1.0
RF,10,0.9124324324324324,0.0739528705730815,0.85,1.0
RF,15,0.8936216216216217,0.06781453646835413,0.7333333333333333,1.0
RF,20,0.8662162162162163,0.08949967126906766,0.7,1.0
RF + DODA,5,0.8451027027027026,0.1271887619134503,0.52,1.0
RF + DODA,10,1.0,0.0,1.0,1.0
RF + DODA,15,0.9273513513513514,0.06727262816715558,0.7333333333333333,1.0
RF + DODA,20,0.927027027027027,0.07498611496794545,0.85,1.0
