Top_K,Same_Feature_Set_Percentage,Mean_Jaccard_Agreement,Std_Jaccard_Agreement,Mean_Common_Features
5,84.0,0.9466666666666668,0.1247219128924647,4.84
10,0.0,0.6354312354312355,0.1094744186935227,7.72
15,0.0,0.5,0.0,10.0
20,0.0,0.6613333333333332,0.01845916413981795,15.92
