Method,Top_K,Mean_Kuncheva,Std_Kuncheva,Min_Kuncheva,Max_Kuncheva
mRMR,5,0.907372972972973,0.11685735450728627,0.76,1.0
mRMR,10,1.0,0.0,1.0,1.0
mRMR,15,0.9130810810810811,0.06352751408401372,0.8666666666666667,1.0
mRMR,20,0.967891891891892,0.06153576332957577,0.85,1.0
mRMR + DODA,5,0.9174918918918918,0.11401334299968484,0.76,1.0
mRMR + DODA,10,1.0,0.0,1.0,1.0
mRMR + DODA,15,0.9225945945945947,0.06580793676896143,0.8666666666666667,1.0
mRMR + DODA,20,0.9109729729729729,0.07368988628960249,0.85,1.0
