Run,Top_K,Boruta_Features,DODA_Features,Common_Feature_Count,Boruta_Feature_Count,DODA_Feature_Count,Same_Feature_Set,Jaccard_Agreement,Features_Added_by_DODA,Features_Removed_by_DODA
10,20,"area error, concave points error, concavity error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean smoothness, mean texture, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst fractal dimension, worst perimeter, worst radius","area error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean smoothness, mean texture, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius, worst smoothness, worst symmetry, worst texture",17,20,20,False,0.7391304347826086,"worst smoothness, worst symmetry, worst texture","concave points error, concavity error, worst fractal dimension"
11,5,"area error, concave points error, concavity error, mean area, mean compactness","worst area, worst concave points, worst concavity, worst perimeter, worst radius",0,5,5,False,0.0,"worst area, worst concave points, worst concavity, worst perimeter, worst radius","area error, concave points error, concavity error, mean area, mean compactness"
11,10,"area error, concave points error, concavity error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean smoothness","mean area, mean concave points, mean concavity, mean perimeter, mean radius, worst area, worst concave points, worst concavity, worst perimeter, worst radius",5,10,10,False,0.3333333333333333,"worst area, worst concave points, worst concavity, worst perimeter, worst radius","area error, concave points error, concavity error, mean compactness, mean smoothness"
11,15,"area error, concave points error, concavity error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean smoothness, mean texture, perimeter error, radius error, worst area, worst compactness","mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean texture, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius, worst symmetry, worst texture",9,15,15,False,0.42857142857142855,"worst concave points, worst concavity, worst perimeter, worst radius, worst symmetry, worst texture","area error, concave points error, concavity error, mean smoothness, perimeter error, radius error"
11,20,"area error, concave points error, concavity error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean smoothness, mean texture, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst fractal dimension, worst perimeter, worst radius","area error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean smoothness, mean texture, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius, worst smoothness, worst symmetry, worst texture",17,20,20,False,0.7391304347826086,"worst smoothness, worst symmetry, worst texture","concave points error, concavity error, worst fractal dimension"
12,5,"area error, concavity error, mean area, mean compactness, mean concave points","worst area, worst concave points, worst concavity, worst perimeter, worst radius",0,5,5,False,0.0,"worst area, worst concave points, worst concavity, worst perimeter, worst radius","area error, concavity error, mean area, mean compactness, mean concave points"
12,10,"area error, concavity error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean smoothness, mean texture","mean area, mean concave points, mean concavity, mean perimeter, mean radius, worst area, worst concave points, worst concavity, worst perimeter, worst radius",5,10,10,False,0.3333333333333333,"worst area, worst concave points, worst concavity, worst perimeter, worst radius","area error, concavity error, mean compactness, mean smoothness, mean texture"
12,15,"area error, concavity error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean smoothness, mean texture, perimeter error, radius error, worst area, worst compactness, worst concave points","mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean texture, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius, worst symmetry, worst texture",10,15,15,False,0.5,"worst concavity, worst perimeter, worst radius, worst symmetry, worst texture","area error, concavity error, mean smoothness, perimeter error, radius error"
12,20,"area error, concavity error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean smoothness, mean texture, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst fractal dimension, worst perimeter, worst radius, worst smoothness","area error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean smoothness, mean texture, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius, worst smoothness, worst symmetry, worst texture",18,20,20,False,0.8181818181818182,"worst symmetry, worst texture","concavity error, worst fractal dimension"
13,5,"area error, concavity error, mean area, mean compactness, mean concave points","worst area, worst concave points, worst concavity, worst perimeter, worst radius",0,5,5,False,0.0,"worst area, worst concave points, worst concavity, worst perimeter, worst radius","area error, concavity error, mean area, mean compactness, mean concave points"
13,10,"area error, concavity error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean smoothness, mean texture","mean area, mean concave points, mean concavity, mean perimeter, mean radius, worst area, worst concave points, worst concavity, worst perimeter, worst radius",5,10,10,False,0.3333333333333333,"worst area, worst concave points, worst concavity, worst perimeter, worst radius","area error, concavity error, mean compactness, mean smoothness, mean texture"
