Method,Top_K,Mean_Kuncheva,Std_Kuncheva,Min_Kuncheva,Max_Kuncheva
Boruta,5,0.8645621621621621,0.14061693687790225,0.52,1.0
Boruta,10,0.8847027027027026,0.11297116304840024,0.7,1.0
Boruta,15,0.8975135135135135,0.10041881159857774,0.7333333333333333,1.0
Boruta,20,0.8778918918918919,0.11030397726278207,0.7,1.0
Boruta + DODA,5,1.0,0.0,1.0,1.0
Boruta + DODA,10,1.0,0.0,1.0,1.0
Boruta + DODA,15,1.0,0.0,1.0,1.0
Boruta + DODA,20,0.967891891891892,0.061535763329575686,0.85,1.0
