Top_K,Same_Feature_Set_Percentage,Mean_Jaccard_Agreement,Std_Jaccard_Agreement,Mean_Common_Features
5,0.0,0.0,0.0,0.0
10,0.0,0.33333333333333326,0.0,5.0
15,0.0,0.46977443609022557,0.05723553031325152,9.56
20,0.0,0.7877658573310746,0.06269764607144876,17.6
