Method,Top_K,Mean_Kuncheva,Std_Kuncheva,Min_Kuncheva,Max_Kuncheva
LASSO,5,0.8824648648648649,0.12900252386034,0.52,1.0
LASSO,10,0.8326486486486486,0.11276979574410623,0.55,1.0
LASSO,15,0.8564324324324324,0.10316316774155354,0.6,1.0
LASSO,20,0.8384864864864864,0.11605856370924769,0.55,1.0
LASSO + DODA,5,0.8879135135135136,0.11976036401280647,0.76,1.0
LASSO + DODA,10,0.8662162162162163,0.09731483308139892,0.7,1.0
LASSO + DODA,15,0.8867027027027027,0.08770758614173331,0.7333333333333333,1.0
LASSO + DODA,20,0.8778918918918919,0.09915135133403588,0.7,1.0
