Method,Top_K,Mean_Jaccard,Std_Jaccard,Minimum_Jaccard,Maximum_Jaccard
mRMR,5,0.8713513513513513,0.1623018812601199,0.6666666666666666,1.0
mRMR,10,1.0,0.0,1.0,1.0
mRMR,15,0.9185135135135135,0.059557044453762975,0.875,1.0
mRMR,20,0.9796138996138997,0.03907032592354014,0.9047619047619048,1.0
mRMR + DODA,5,0.8854054054054054,0.15835186527734013,0.6666666666666666,1.0
mRMR + DODA,10,1.0,0.0,1.0,1.0
mRMR + DODA,15,0.9274324324324325,0.06169494072090145,0.875,1.0
mRMR + DODA,20,0.9434749034749037,0.046787229390223777,0.9047619047619048,1.0
