Top_K,Same_Feature_Set_Percentage,Mean_Jaccard_Agreement,Std_Jaccard_Agreement,Mean_Common_Features
5,32.0,0.7733333333333333,0.15869840952317446,4.32
10,100.0,1.0,0.0,10.0
15,48.0,0.935,0.06373774391990981,14.48
20,64.0,0.9657142857142857,0.046656947481584346,19.64
