Method,Top_K,Mean_Jaccard,Std_Jaccard,Minimum_Jaccard,Maximum_Jaccard
LASSO,5,0.8386100386100385,0.1743801527107999,0.42857142857142855,1.0
LASSO,10,0.8075751275751276,0.12328963669449321,0.5384615384615384,1.0
LASSO,15,0.8703815580286168,0.09018174483805753,0.6666666666666666,1.0
LASSO,20,0.9003854899507073,0.06981703617464759,0.7391304347826086,1.0
LASSO + DODA,5,0.8443243243243244,0.16633383890667558,0.6666666666666666,1.0
LASSO + DODA,10,0.8427518427518429,0.10980867216392969,0.6666666666666666,1.0
LASSO + DODA,15,0.896025437201908,0.07838484377819267,0.7647058823529411,1.0
LASSO + DODA,20,0.9237065637065637,0.0607707677965157,0.8181818181818182,1.0
