Method,Top_K,Mean_Kuncheva,Std_Kuncheva,Min_Kuncheva,Max_Kuncheva
ANOVA,5,0.9634162162162162,0.08628103815531378,0.76,1.0
ANOVA,10,1.0,0.0,1.0,1.0
ANOVA,15,1.0,0.0,1.0,1.0
ANOVA,20,0.9771351351351352,0.053925648847071184,0.85,1.0
DODA,5,0.9641945945945946,0.08552137675933112,0.76,1.0
DODA,10,1.0,0.0,1.0,1.0
DODA,15,1.0,0.0,1.0,1.0
DODA,20,0.9883243243243243,0.04019467814829337,0.85,1.0
