Run,Top_K,RF_Features,DODA_Features,Common_Feature_Count,RF_Feature_Count,DODA_Feature_Count,Same_Feature_Set,Jaccard_Agreement,Features_Added_by_DODA,Features_Removed_by_DODA
10,15,"area error, mean area, mean concave points, mean concavity, mean perimeter, mean radius, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius, worst smoothness, worst texture","area error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius, worst smoothness, worst texture",14,15,15,False,0.875,mean compactness,radius error
10,20,"area error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean smoothness, mean texture, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius, worst smoothness, worst symmetry, worst texture","area error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean smoothness, mean texture, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius, worst smoothness, worst symmetry, worst texture",20,20,20,True,1.0,,
11,5,"mean concave points, mean concavity, worst area, worst concave points, worst perimeter","mean concave points, mean concavity, worst area, worst concave points, worst perimeter",5,5,5,True,1.0,,
11,10,"area error, mean concave points, mean concavity, mean perimeter, mean radius, worst area, worst concave points, worst concavity, worst perimeter, worst radius","mean area, mean concave points, mean concavity, mean perimeter, mean radius, worst area, worst concave points, worst concavity, worst perimeter, worst radius",9,10,10,False,0.8181818181818182,mean area,area error
11,15,"area error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean texture, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius","area error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius, worst texture",14,15,15,False,0.875,worst texture,mean texture
11,20,"area error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean smoothness, mean texture, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst fractal dimension, worst perimeter, worst radius, worst smoothness, worst texture","area error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean smoothness, mean texture, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius, worst smoothness, worst symmetry, worst texture",19,20,20,False,0.9047619047619048,worst symmetry,worst fractal dimension
12,5,"mean concave points, mean concavity, worst area, worst concave points, worst perimeter","mean concave points, mean concavity, worst area, worst concave points, worst perimeter",5,5,5,True,1.0,,
12,10,"mean area, mean concave points, mean concavity, mean perimeter, mean radius, worst area, worst concave points, worst concavity, worst perimeter, worst radius","mean area, mean concave points, mean concavity, mean perimeter, mean radius, worst area, worst concave points, worst concavity, worst perimeter, worst radius",10,10,10,True,1.0,,
12,15,"area error, mean area, mean concave points, mean concavity, mean perimeter, mean radius, mean texture, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius, worst texture","area error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean texture, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius, worst texture",14,15,15,False,0.875,mean compactness,radius error
12,20,"area error, concavity error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean texture, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst fractal dimension, worst perimeter, worst radius, worst smoothness, worst texture","area error, concavity error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean texture, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius, worst smoothness, worst symmetry, worst texture",19,20,20,False,0.9047619047619048,worst symmetry,worst fractal dimension
13,5,"mean concave points, worst area, worst concave points, worst perimeter, worst radius","mean concave points, worst area, worst concave points, worst perimeter, worst radius",5,5,5,True,1.0,,
13,10,"mean area, mean concave points, mean concavity, mean perimeter, mean radius, worst area, worst concave points, worst concavity, worst perimeter, worst radius","mean area, mean concave points, mean concavity, mean perimeter, mean radius, worst area, worst concave points, worst concavity, worst perimeter, worst radius",10,10,10,True,1.0,,
13,15,"area error, mean area, mean concave points, mean concavity, mean perimeter, mean radius, mean texture, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius, worst texture","area error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean texture, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius, worst texture",14,15,15,False,0.875,mean compactness,radius error
13,20,"area error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean smoothness, mean texture, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius, worst smoothness, worst symmetry, worst texture","area error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean smoothness, mean texture, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius, worst smoothness, worst symmetry, worst texture",20,20,20,True,1.0,,
14,5,"mean concave points, worst area, worst concave points, worst perimeter, worst radius","mean concave points, worst area, worst concave points, worst perimeter, worst radius",5,5,5,True,1.0,,
14,10,"area error, mean area, mean concave points, mean concavity, mean perimeter, mean radius, worst area, worst concave points, worst perimeter, worst radius","mean area, mean concave points, mean concavity, mean perimeter, mean radius, worst area, worst concave points, worst concavity, worst perimeter, worst radius",9,10,10,False,0.8181818181818182,worst concavity,area error
14,15,"area error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius, worst texture","area error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius, worst texture",15,15,15,True,1.0,,
