Method,Top_K,Mean_Jaccard,Std_Jaccard,Minimum_Jaccard,Maximum_Jaccard
Boruta,5,0.8165250965250966,0.18473338226973426,0.42857142857142855,1.0
Boruta,10,0.8661425061425063,0.12749025270409375,0.6666666666666666,1.0
Boruta,15,0.9067806041335453,0.08952926847756325,0.7647058823529411,1.0
Boruta,20,0.9241558441558441,0.06734855072478863,0.8181818181818182,1.0
Boruta + DODA,5,1.0,0.0,1.0,1.0
Boruta + DODA,10,1.0,0.0,1.0,1.0
Boruta + DODA,15,1.0,0.0,1.0,1.0
Boruta + DODA,20,0.9796138996138997,0.03907032592354014,0.9047619047619048,1.0
