Top_K,Mean_Jaccard,Std_Jaccard,Min_Jaccard,Max_Jaccard
5,1.0,0.0,1.0,1.0
10,1.0,0.0,1.0,1.0
15,0.9259068627450979,0.06820857059082336,0.7647058823529411,1.0
20,0.9374603174603177,0.045296662590634126,0.9047619047619048,1.0
