Top_K,Mean_Jaccard,Std_Jaccard,Min_Jaccard,Max_Jaccard
5,1.0,0.0,1.0,1.0
10,0.9854545454545455,0.0494084523990369,0.8181818181818182,1.0
15,0.9583333333333334,0.0590240205812358,0.875,1.0
20,1.0,0.0,1.0,1.0
