Run,Method,Top_K,Model,Accuracy,Precision,Recall,F1,ROC_AUC,Selected_Features
2,Boruta,5,Logistic Regression,0.9122807017543859,0.8860759493670886,0.9859154929577465,0.9333333333333333,0.9780543727481166,"area error, concave points error, concavity error, mean area, mean compactness"
2,Boruta,5,Random Forest,0.9298245614035088,0.9090909090909091,0.9859154929577465,0.9459459459459459,0.9703570258761874,"area error, concave points error, concavity error, mean area, mean compactness"
2,Boruta,5,XGBoost,0.9035087719298246,0.8947368421052632,0.9577464788732394,0.9251700680272109,0.9505404520144121,"area error, concave points error, concavity error, mean area, mean compactness"
2,Boruta + DODA,5,Logistic Regression,0.9298245614035088,0.9315068493150684,0.9577464788732394,0.9444444444444444,0.9760890926957091,"worst radius, worst perimeter, worst area, worst concavity, worst concave points"
2,Boruta + DODA,5,Random Forest,0.8859649122807017,0.881578947368421,0.9436619718309859,0.9115646258503401,0.9551261054700295,"worst radius, worst perimeter, worst area, worst concavity, worst concave points"
2,Boruta + DODA,5,XGBoost,0.9035087719298246,0.9054054054054054,0.9436619718309859,0.9241379310344827,0.941041598427776,"worst radius, worst perimeter, worst area, worst concavity, worst concave points"
2,Boruta,10,Logistic Regression,0.9385964912280702,0.9324324324324325,0.971830985915493,0.9517241379310345,0.9872256796593515,"area error, concave points error, concavity error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean smoothness"
2,Boruta,10,Random Forest,0.9210526315789473,0.918918918918919,0.9577464788732394,0.9379310344827586,0.9711758925646904,"area error, concave points error, concavity error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean smoothness"
2,Boruta,10,XGBoost,0.9298245614035088,0.9315068493150684,0.9577464788732394,0.9444444444444444,0.982640026203734,"area error, concave points error, concavity error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean smoothness"
2,Boruta + DODA,10,Logistic Regression,0.9385964912280702,0.9444444444444444,0.9577464788732394,0.951048951048951,0.9796921061251228,"worst radius, worst perimeter, worst area, worst concavity, worst concave points, mean radius, mean perimeter, mean area, mean concavity, mean concave points"
2,Boruta + DODA,10,Random Forest,0.9210526315789473,0.918918918918919,0.9577464788732394,0.9379310344827586,0.970029479200786,"worst radius, worst perimeter, worst area, worst concavity, worst concave points, mean radius, mean perimeter, mean area, mean concavity, mean concave points"
2,Boruta + DODA,10,XGBoost,0.9298245614035088,0.9436619718309859,0.9436619718309859,0.9436619718309859,0.9505404520144121,"worst radius, worst perimeter, worst area, worst concavity, worst concave points, mean radius, mean perimeter, mean area, mean concavity, mean concave points"
2,Boruta,15,Logistic Regression,0.956140350877193,0.9459459459459459,0.9859154929577465,0.9655172413793104,0.9941041598427776,"area error, concave points error, concavity error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean smoothness, mean texture, perimeter error, radius error, worst area, worst compactness"
2,Boruta,15,Random Forest,0.9473684210526315,0.9333333333333333,0.9859154929577465,0.958904109589041,0.9803471994759253,"area error, concave points error, concavity error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean smoothness, mean texture, perimeter error, radius error, worst area, worst compactness"
2,Boruta,15,XGBoost,0.9385964912280702,0.9210526315789473,0.9859154929577465,0.9523809523809523,0.9882083196855551,"area error, concave points error, concavity error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean smoothness, mean texture, perimeter error, radius error, worst area, worst compactness"
2,Boruta + DODA,15,Logistic Regression,0.9649122807017544,0.958904109589041,0.9859154929577465,0.9722222222222222,0.9872256796593515,"worst radius, worst perimeter, worst area, worst concavity, worst concave points, mean radius, mean perimeter, mean area, mean concavity, mean concave points, worst compactness, mean compactness, worst texture, worst symmetry, mean texture"
2,Boruta + DODA,15,Random Forest,0.956140350877193,0.9583333333333334,0.971830985915493,0.965034965034965,0.975761546020308,"worst radius, worst perimeter, worst area, worst concavity, worst concave points, mean radius, mean perimeter, mean area, mean concavity, mean concave points, worst compactness, mean compactness, worst texture, worst symmetry, mean texture"
2,Boruta + DODA,15,XGBoost,0.9649122807017544,0.958904109589041,0.9859154929577465,0.9722222222222222,0.9908286930887651,"worst radius, worst perimeter, worst area, worst concavity, worst concave points, mean radius, mean perimeter, mean area, mean concavity, mean concave points, worst compactness, mean compactness, worst texture, worst symmetry, mean texture"
2,Boruta,20,Logistic Regression,0.956140350877193,0.9459459459459459,0.9859154929577465,0.9655172413793104,0.9967245332459876,"area error, concave points error, concavity error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean smoothness, mean texture, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst fractal dimension, worst perimeter, worst radius"
2,Boruta,20,Random Forest,0.9473684210526315,0.9452054794520548,0.971830985915493,0.9583333333333334,0.9751064526695054,"area error, concave points error, concavity error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean smoothness, mean texture, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst fractal dimension, worst perimeter, worst radius"
2,Boruta,20,XGBoost,0.9385964912280702,0.9324324324324325,0.971830985915493,0.9517241379310345,0.9855879462823453,"area error, concave points error, concavity error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean smoothness, mean texture, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst fractal dimension, worst perimeter, worst radius"
2,Boruta + DODA,20,Logistic Regression,0.9736842105263158,0.9594594594594594,1.0,0.9793103448275862,0.9970520799213888,"worst radius, worst perimeter, worst area, worst concavity, worst concave points, mean radius, mean perimeter, mean area, mean concavity, mean concave points, worst compactness, mean compactness, worst texture, worst symmetry, mean texture, radius error, perimeter error, area error, worst smoothness, mean smoothness"
