Fold,Method,Top_K,Model,Accuracy,Precision,Recall,F1,ROC_AUC,Selected_Features
1,ANOVA,15,XGBoost,0.9736842105263158,0.9857142857142858,0.971830985915493,0.9787234042553191,0.9967245332459875,"mean radius, mean perimeter, mean area, mean compactness, mean concavity, mean concave points, radius error, perimeter error, area error, worst radius, worst perimeter, worst area, worst compactness, worst concavity, worst concave points"
2,ANOVA,15,XGBoost,0.9298245614035088,0.9436619718309859,0.9436619718309859,0.9436619718309859,0.980019652800524,"mean radius, mean perimeter, mean area, mean compactness, mean concavity, mean concave points, radius error, perimeter error, area error, worst radius, worst perimeter, worst area, worst compactness, worst concavity, worst concave points"
3,ANOVA,15,XGBoost,0.956140350877193,0.958904109589041,0.9722222222222222,0.9655172413793104,0.9818121693121693,"mean radius, mean perimeter, mean area, mean compactness, mean concavity, mean concave points, radius error, perimeter error, area error, worst radius, worst perimeter, worst area, worst compactness, worst concavity, worst concave points"
4,ANOVA,15,XGBoost,0.9210526315789473,0.9436619718309859,0.9305555555555556,0.9370629370629371,0.9857804232804233,"mean radius, mean perimeter, mean area, mean compactness, mean concavity, mean concave points, radius error, perimeter error, area error, worst radius, worst perimeter, worst area, worst compactness, worst concavity, worst concave points"
5,ANOVA,15,XGBoost,0.9646017699115044,0.958904109589041,0.9859154929577465,0.9722222222222222,0.9835680751173709,"mean radius, mean perimeter, mean area, mean compactness, mean concavity, mean concave points, radius error, perimeter error, area error, worst radius, worst perimeter, worst area, worst compactness, worst concavity, worst concave points"
1,ANOVA,20,Logistic Regression,0.9649122807017544,1.0,0.9436619718309859,0.9710144927536232,0.9996724533245988,"mean radius, mean texture, mean perimeter, mean area, mean compactness, mean concavity, mean concave points, radius error, perimeter error, area error, concave points error, worst radius, worst texture, worst perimeter, worst area, worst smoothness, worst compactness, worst concavity, worst concave points, worst symmetry"
2,ANOVA,20,Logistic Regression,0.9736842105263158,0.9594594594594594,1.0,0.9793103448275862,0.9980347199475925,"mean radius, mean texture, mean perimeter, mean area, mean compactness, mean concavity, mean concave points, radius error, perimeter error, area error, concave points error, worst radius, worst texture, worst perimeter, worst area, worst smoothness, worst compactness, worst concavity, worst concave points, worst symmetry"
3,ANOVA,20,Logistic Regression,0.9824561403508771,0.972972972972973,1.0,0.9863013698630136,0.9854497354497354,"mean radius, mean texture, mean perimeter, mean area, mean compactness, mean concavity, mean concave points, radius error, perimeter error, area error, concave points error, worst radius, worst texture, worst perimeter, worst area, worst smoothness, worst compactness, worst concavity, worst concave points, worst symmetry"
4,ANOVA,20,Logistic Regression,0.9736842105263158,1.0,0.9583333333333334,0.9787234042553191,0.9996693121693121,"mean radius, mean texture, mean perimeter, mean area, mean compactness, mean concavity, mean concave points, radius error, perimeter error, area error, concave points error, worst radius, worst texture, worst perimeter, worst area, worst smoothness, worst compactness, worst concavity, worst concave points, worst symmetry"
5,ANOVA,20,Logistic Regression,0.9911504424778761,0.9861111111111112,1.0,0.993006993006993,0.9986586183769282,"mean radius, mean texture, mean perimeter, mean area, mean compactness, mean concavity, mean concave points, radius error, perimeter error, area error, concave points error, worst radius, worst texture, worst perimeter, worst area, worst smoothness, worst compactness, worst concavity, worst concave points, worst symmetry"
1,ANOVA,20,Random Forest,0.956140350877193,1.0,0.9295774647887324,0.9635036496350365,0.9986898132983951,"mean radius, mean texture, mean perimeter, mean area, mean compactness, mean concavity, mean concave points, radius error, perimeter error, area error, concave points error, worst radius, worst texture, worst perimeter, worst area, worst smoothness, worst compactness, worst concavity, worst concave points, worst symmetry"
2,ANOVA,20,Random Forest,0.956140350877193,0.9583333333333334,0.971830985915493,0.965034965034965,0.9803471994759253,"mean radius, mean texture, mean perimeter, mean area, mean compactness, mean concavity, mean concave points, radius error, perimeter error, area error, concave points error, worst radius, worst texture, worst perimeter, worst area, worst smoothness, worst compactness, worst concavity, worst concave points, worst symmetry"
3,ANOVA,20,Random Forest,0.9649122807017544,0.9594594594594594,0.9861111111111112,0.9726027397260274,0.9885912698412698,"mean radius, mean texture, mean perimeter, mean area, mean compactness, mean concavity, mean concave points, radius error, perimeter error, area error, concave points error, worst radius, worst texture, worst perimeter, worst area, worst smoothness, worst compactness, worst concavity, worst concave points, worst symmetry"
4,ANOVA,20,Random Forest,0.956140350877193,1.0,0.9305555555555556,0.9640287769784173,0.994212962962963,"mean radius, mean texture, mean perimeter, mean area, mean compactness, mean concavity, mean concave points, radius error, perimeter error, area error, concave points error, worst radius, worst texture, worst perimeter, worst area, worst smoothness, worst compactness, worst concavity, worst concave points, worst symmetry"
5,ANOVA,20,Random Forest,0.9734513274336283,0.9722222222222222,0.9859154929577465,0.9790209790209791,0.9931254191817572,"mean radius, mean texture, mean perimeter, mean area, mean compactness, mean concavity, mean concave points, radius error, perimeter error, area error, concave points error, worst radius, worst texture, worst perimeter, worst area, worst smoothness, worst compactness, worst concavity, worst concave points, worst symmetry"
1,ANOVA,20,XGBoost,0.9736842105263158,1.0,0.9577464788732394,0.9784172661870504,0.9977071732721914,"mean radius, mean texture, mean perimeter, mean area, mean compactness, mean concavity, mean concave points, radius error, perimeter error, area error, concave points error, worst radius, worst texture, worst perimeter, worst area, worst smoothness, worst compactness, worst concavity, worst concave points, worst symmetry"
2,ANOVA,20,XGBoost,0.9473684210526315,0.9452054794520548,0.971830985915493,0.9583333333333334,0.9908286930887652,"mean radius, mean texture, mean perimeter, mean area, mean compactness, mean concavity, mean concave points, radius error, perimeter error, area error, concave points error, worst radius, worst texture, worst perimeter, worst area, worst smoothness, worst compactness, worst concavity, worst concave points, worst symmetry"
3,ANOVA,20,XGBoost,0.956140350877193,0.9466666666666667,0.9861111111111112,0.9659863945578231,0.9871031746031746,"mean radius, mean texture, mean perimeter, mean area, mean compactness, mean concavity, mean concave points, radius error, perimeter error, area error, concave points error, worst radius, worst texture, worst perimeter, worst area, worst smoothness, worst compactness, worst concavity, worst concave points, worst symmetry"
4,ANOVA,20,XGBoost,0.956140350877193,1.0,0.9305555555555556,0.9640287769784173,0.9993386243386243,"mean radius, mean texture, mean perimeter, mean area, mean compactness, mean concavity, mean concave points, radius error, perimeter error, area error, concave points error, worst radius, worst texture, worst perimeter, worst area, worst smoothness, worst compactness, worst concavity, worst concave points, worst symmetry"
5,ANOVA,20,XGBoost,0.9646017699115044,0.971830985915493,0.971830985915493,0.971830985915493,0.9896042924211939,"mean radius, mean texture, mean perimeter, mean area, mean compactness, mean concavity, mean concave points, radius error, perimeter error, area error, concave points error, worst radius, worst texture, worst perimeter, worst area, worst smoothness, worst compactness, worst concavity, worst concave points, worst symmetry"
1,DODA,5,Logistic Regression,0.9385964912280702,1.0,0.9014084507042254,0.9481481481481482,0.9977071732721913,"worst concave points, worst perimeter, worst radius, mean concave points, worst area"
2,DODA,5,Logistic Regression,0.9210526315789473,0.918918918918919,0.9577464788732394,0.9379310344827586,0.9787094660989191,"worst concave points, worst perimeter, worst radius, mean concave points, worst area"
3,DODA,5,Logistic Regression,0.9473684210526315,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9791666666666666,"worst perimeter, worst concave points, worst radius, mean concave points, worst area"
4,DODA,5,Logistic Regression,0.956140350877193,1.0,0.9305555555555556,0.9640287769784173,0.9937169312169312,"worst concave points, worst perimeter, worst radius, mean concave points, mean perimeter"
5,DODA,5,Logistic Regression,0.9646017699115044,0.958904109589041,0.9859154929577465,0.9722222222222222,0.9969818913480886,"worst concave points, worst perimeter, worst radius, mean concave points, worst area"
1,DODA,5,Random Forest,0.956140350877193,1.0,0.9295774647887324,0.9635036496350365,0.9962332132328857,"worst concave points, worst perimeter, worst radius, mean concave points, worst area"
2,DODA,5,Random Forest,0.9210526315789473,0.918918918918919,0.9577464788732394,0.9379310344827586,0.9574189321978381,"worst concave points, worst perimeter, worst radius, mean concave points, worst area"
3,DODA,5,Random Forest,0.956140350877193,0.958904109589041,0.9722222222222222,0.9655172413793104,0.9702380952380952,"worst perimeter, worst concave points, worst radius, mean concave points, worst area"
4,DODA,5,Random Forest,0.9385964912280702,0.9850746268656716,0.9166666666666666,0.9496402877697842,0.9937169312169313,"worst concave points, worst perimeter, worst radius, mean concave points, mean perimeter"
5,DODA,5,Random Forest,0.9557522123893806,0.9583333333333334,0.971830985915493,0.965034965034965,0.9862508383635145,"worst concave points, worst perimeter, worst radius, mean concave points, worst area"
1,DODA,5,XGBoost,0.9385964912280702,0.9848484848484849,0.9154929577464789,0.948905109489051,0.996069439895185,"worst concave points, worst perimeter, worst radius, mean concave points, worst area"
2,DODA,5,XGBoost,0.8947368421052632,0.8831168831168831,0.9577464788732394,0.918918918918919,0.9561087454962333,"worst concave points, worst perimeter, worst radius, mean concave points, worst area"
3,DODA,5,XGBoost,0.9210526315789473,0.9315068493150684,0.9444444444444444,0.9379310344827586,0.957010582010582,"worst perimeter, worst concave points, worst radius, mean concave points, worst area"
4,DODA,5,XGBoost,0.9298245614035088,0.9848484848484849,0.9027777777777778,0.9420289855072463,0.9897486772486772,"worst concave points, worst perimeter, worst radius, mean concave points, mean perimeter"
5,DODA,5,XGBoost,0.9557522123893806,0.9583333333333334,0.971830985915493,0.965034965034965,0.9775318578135479,"worst concave points, worst perimeter, worst radius, mean concave points, worst area"
1,DODA,10,Logistic Regression,0.9298245614035088,1.0,0.8873239436619719,0.9402985074626866,0.99737962659679,"worst concave points, worst perimeter, worst radius, mean concave points, worst area, mean perimeter, mean radius, mean area, mean concavity, worst concavity"
2,DODA,10,Logistic Regression,0.9385964912280702,0.9444444444444444,0.9577464788732394,0.951048951048951,0.9796921061251228,"worst concave points, worst perimeter, worst radius, mean concave points, worst area, mean perimeter, mean radius, mean concavity, mean area, worst concavity"
3,DODA,10,Logistic Regression,0.9473684210526315,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9781746031746031,"worst perimeter, worst concave points, worst radius, mean concave points, worst area, mean perimeter, mean radius, mean area, mean concavity, worst concavity"
4,DODA,10,Logistic Regression,0.9385964912280702,1.0,0.9027777777777778,0.948905109489051,0.9953703703703703,"worst concave points, worst perimeter, worst radius, mean concave points, mean perimeter, worst area, mean radius, mean concavity, mean area, worst concavity"
5,DODA,10,Logistic Regression,0.9646017699115044,0.958904109589041,0.9859154929577465,0.9722222222222222,0.9969818913480886,"worst concave points, worst perimeter, worst radius, mean concave points, worst area, mean perimeter, mean radius, mean area, mean concavity, worst concavity"
1,DODA,10,Random Forest,0.956140350877193,0.9852941176470589,0.9436619718309859,0.9640287769784173,0.99737962659679,"worst concave points, worst perimeter, worst radius, mean concave points, worst area, mean perimeter, mean radius, mean area, mean concavity, worst concavity"
2,DODA,10,Random Forest,0.9210526315789473,0.918918918918919,0.9577464788732394,0.9379310344827586,0.9703570258761873,"worst concave points, worst perimeter, worst radius, mean concave points, worst area, mean perimeter, mean radius, mean concavity, mean area, worst concavity"
3,DODA,10,Random Forest,0.956140350877193,0.958904109589041,0.9722222222222222,0.9655172413793104,0.9733796296296297,"worst perimeter, worst concave points, worst radius, mean concave points, worst area, mean perimeter, mean radius, mean area, mean concavity, worst concavity"
4,DODA,10,Random Forest,0.9385964912280702,0.9850746268656716,0.9166666666666666,0.9496402877697842,0.9930555555555556,"worst concave points, worst perimeter, worst radius, mean concave points, mean perimeter, worst area, mean radius, mean concavity, mean area, worst concavity"
5,DODA,10,Random Forest,0.9557522123893806,0.9583333333333334,0.971830985915493,0.965034965034965,0.988262910798122,"worst concave points, worst perimeter, worst radius, mean concave points, worst area, mean perimeter, mean radius, mean area, mean concavity, worst concavity"
