Fold,Method,Top_K,Model,Accuracy,Precision,Recall,F1,ROC_AUC,Selected_Features
1,mRMR,15,Logistic Regression,0.9473684210526315,0.9850746268656716,0.9295774647887324,0.9565217391304348,0.99737962659679,"worst concave points, worst radius, worst perimeter, mean concave points, mean perimeter, mean radius, worst area, mean concavity, worst concavity, mean area, worst compactness, worst texture, mean compactness, radius error, perimeter error"
1,mRMR,15,Random Forest,0.956140350877193,0.9852941176470589,0.9436619718309859,0.9640287769784173,0.9977071732721913,"worst concave points, worst radius, worst perimeter, mean concave points, mean perimeter, mean radius, worst area, mean concavity, worst concavity, mean area, worst compactness, worst texture, mean compactness, radius error, perimeter error"
1,mRMR,15,XGBoost,0.9649122807017544,0.971830985915493,0.971830985915493,0.971830985915493,0.9967245332459875,"worst concave points, worst radius, worst perimeter, mean concave points, mean perimeter, mean radius, worst area, mean concavity, worst concavity, mean area, worst compactness, worst texture, mean compactness, radius error, perimeter error"
2,mRMR,15,Logistic Regression,0.9473684210526315,0.9577464788732394,0.9577464788732394,0.9577464788732394,0.9934490664919752,"worst concave points, worst perimeter, worst radius, mean concave points, mean perimeter, worst area, worst concavity, mean radius, mean concavity, mean area, worst compactness, mean compactness, worst texture, radius error, worst symmetry"
2,mRMR,15,Random Forest,0.9473684210526315,0.9452054794520548,0.971830985915493,0.9583333333333334,0.9754339993449066,"worst concave points, worst perimeter, worst radius, mean concave points, mean perimeter, worst area, worst concavity, mean radius, mean concavity, mean area, worst compactness, mean compactness, worst texture, radius error, worst symmetry"
2,mRMR,15,XGBoost,0.9473684210526315,0.9452054794520548,0.971830985915493,0.9583333333333334,0.9895185063871602,"worst concave points, worst perimeter, worst radius, mean concave points, mean perimeter, worst area, worst concavity, mean radius, mean concavity, mean area, worst compactness, mean compactness, worst texture, radius error, worst symmetry"
3,mRMR,15,Logistic Regression,0.9649122807017544,0.9594594594594594,0.9861111111111112,0.9726027397260274,0.9890873015873016,"worst perimeter, worst concave points, worst radius, mean concave points, mean perimeter, worst area, mean radius, mean area, mean concavity, worst concavity, worst compactness, worst texture, radius error, mean compactness, perimeter error"
3,mRMR,15,Random Forest,0.9649122807017544,0.9594594594594594,0.9861111111111112,0.9726027397260274,0.9775132275132274,"worst perimeter, worst concave points, worst radius, mean concave points, mean perimeter, worst area, mean radius, mean area, mean concavity, worst concavity, worst compactness, worst texture, radius error, mean compactness, perimeter error"
3,mRMR,15,XGBoost,0.956140350877193,0.958904109589041,0.9722222222222222,0.9655172413793104,0.9871031746031746,"worst perimeter, worst concave points, worst radius, mean concave points, mean perimeter, worst area, mean radius, mean area, mean concavity, worst concavity, worst compactness, worst texture, radius error, mean compactness, perimeter error"
4,mRMR,15,Logistic Regression,0.9649122807017544,1.0,0.9444444444444444,0.9714285714285714,0.9986772486772486,"worst concave points, worst perimeter, mean concave points, worst radius, mean perimeter, mean concavity, mean radius, worst area, worst concavity, mean area, worst compactness, mean compactness, radius error, worst texture, perimeter error"
