Run,Method,Top_K,Model,Accuracy,Precision,Recall,F1,ROC_AUC,Selected_Features
2,LASSO,5,Random Forest,0.9473684210526315,0.9452054794520548,0.971830985915493,0.9583333333333334,0.975761546020308,"worst radius, worst concave points, worst texture, mean concave points, worst smoothness"
2,LASSO,5,XGBoost,0.9649122807017544,0.958904109589041,0.9859154929577465,0.9722222222222222,0.9862430396331477,"worst radius, worst concave points, worst texture, mean concave points, worst smoothness"
2,LASSO + DODA,5,Logistic Regression,0.956140350877193,0.9459459459459459,0.9859154929577465,0.9655172413793104,0.986570586308549,"worst radius, worst concave points, mean concave points, worst texture, worst smoothness"
2,LASSO + DODA,5,Random Forest,0.956140350877193,0.9583333333333334,0.971830985915493,0.965034965034965,0.9788732394366197,"worst radius, worst concave points, mean concave points, worst texture, worst smoothness"
2,LASSO + DODA,5,XGBoost,0.9649122807017544,0.958904109589041,0.9859154929577465,0.9722222222222222,0.9862430396331477,"worst radius, worst concave points, mean concave points, worst texture, worst smoothness"
2,LASSO,10,Logistic Regression,0.9649122807017544,0.958904109589041,0.9859154929577465,0.9722222222222222,0.9980347199475925,"worst radius, worst concave points, worst texture, mean concave points, worst smoothness, radius error, worst symmetry, worst concavity, area error, compactness error"
2,LASSO,10,Random Forest,0.9473684210526315,0.9577464788732394,0.9577464788732394,0.9577464788732394,0.9901735997379628,"worst radius, worst concave points, worst texture, mean concave points, worst smoothness, radius error, worst symmetry, worst concavity, area error, compactness error"
2,LASSO,10,XGBoost,0.9736842105263158,0.9722222222222222,0.9859154929577465,0.9790209790209791,0.99475925319358,"worst radius, worst concave points, worst texture, mean concave points, worst smoothness, radius error, worst symmetry, worst concavity, area error, compactness error"
2,LASSO + DODA,10,Logistic Regression,0.9649122807017544,0.958904109589041,0.9859154929577465,0.9722222222222222,0.9970520799213888,"worst radius, worst concave points, mean concave points, worst texture, worst smoothness, radius error, worst concavity, worst symmetry, mean radius, mean texture"
2,LASSO + DODA,10,Random Forest,0.9649122807017544,0.971830985915493,0.971830985915493,0.971830985915493,0.9810022928267278,"worst radius, worst concave points, mean concave points, worst texture, worst smoothness, radius error, worst concavity, worst symmetry, mean radius, mean texture"
2,LASSO + DODA,10,XGBoost,0.956140350877193,0.9459459459459459,0.9859154929577465,0.9655172413793104,0.9918113331149688,"worst radius, worst concave points, mean concave points, worst texture, worst smoothness, radius error, worst concavity, worst symmetry, mean radius, mean texture"
2,LASSO,15,Logistic Regression,0.9649122807017544,0.971830985915493,0.971830985915493,0.971830985915493,0.9963969865705863,"worst radius, worst concave points, worst texture, mean concave points, worst smoothness, radius error, worst symmetry, worst concavity, area error, compactness error, concave points error, concavity error, fractal dimension error, mean area, mean compactness"
2,LASSO,15,Random Forest,0.9649122807017544,0.971830985915493,0.971830985915493,0.971830985915493,0.9883720930232558,"worst radius, worst concave points, worst texture, mean concave points, worst smoothness, radius error, worst symmetry, worst concavity, area error, compactness error, concave points error, concavity error, fractal dimension error, mean area, mean compactness"
2,LASSO,15,XGBoost,0.9824561403508771,0.9859154929577465,0.9859154929577465,0.9859154929577465,0.99475925319358,"worst radius, worst concave points, worst texture, mean concave points, worst smoothness, radius error, worst symmetry, worst concavity, area error, compactness error, concave points error, concavity error, fractal dimension error, mean area, mean compactness"
2,LASSO + DODA,15,Logistic Regression,0.9649122807017544,0.958904109589041,0.9859154929577465,0.9722222222222222,0.9963969865705863,"worst radius, worst concave points, mean concave points, worst texture, worst smoothness, radius error, worst concavity, worst symmetry, mean radius, mean texture, mean perimeter, mean area, mean smoothness, mean compactness, mean concavity"
2,LASSO + DODA,15,Random Forest,0.9473684210526315,0.9452054794520548,0.971830985915493,0.9583333333333334,0.987880773010154,"worst radius, worst concave points, mean concave points, worst texture, worst smoothness, radius error, worst concavity, worst symmetry, mean radius, mean texture, mean perimeter, mean area, mean smoothness, mean compactness, mean concavity"
2,LASSO + DODA,15,XGBoost,0.9736842105263158,0.9722222222222222,0.9859154929577465,0.9790209790209791,0.9957418932197838,"worst radius, worst concave points, mean concave points, worst texture, worst smoothness, radius error, worst concavity, worst symmetry, mean radius, mean texture, mean perimeter, mean area, mean smoothness, mean compactness, mean concavity"
2,LASSO,20,Logistic Regression,0.9649122807017544,0.971830985915493,0.971830985915493,0.971830985915493,0.9977071732721913,"worst radius, worst concave points, worst texture, mean concave points, worst smoothness, radius error, worst symmetry, worst concavity, area error, compactness error, concave points error, concavity error, fractal dimension error, mean area, mean compactness, mean concavity, mean fractal dimension, mean perimeter, mean radius, mean smoothness"
2,LASSO,20,Random Forest,0.9385964912280702,0.9324324324324325,0.971830985915493,0.9517241379310345,0.9890271863740583,"worst radius, worst concave points, worst texture, mean concave points, worst smoothness, radius error, worst symmetry, worst concavity, area error, compactness error, concave points error, concavity error, fractal dimension error, mean area, mean compactness, mean concavity, mean fractal dimension, mean perimeter, mean radius, mean smoothness"
2,LASSO,20,XGBoost,0.9736842105263158,0.9722222222222222,0.9859154929577465,0.9790209790209791,0.9944317065181788,"worst radius, worst concave points, worst texture, mean concave points, worst smoothness, radius error, worst symmetry, worst concavity, area error, compactness error, concave points error, concavity error, fractal dimension error, mean area, mean compactness, mean concavity, mean fractal dimension, mean perimeter, mean radius, mean smoothness"
2,LASSO + DODA,20,Logistic Regression,0.9649122807017544,0.958904109589041,0.9859154929577465,0.9722222222222222,0.9983622666229938,"worst radius, worst concave points, mean concave points, worst texture, worst smoothness, radius error, worst concavity, worst symmetry, mean radius, mean texture, mean perimeter, mean area, mean smoothness, mean compactness, mean concavity, mean symmetry, mean fractal dimension, texture error, perimeter error, area error"
2,LASSO + DODA,20,Random Forest,0.9649122807017544,0.971830985915493,0.971830985915493,0.971830985915493,0.9805109728136259,"worst radius, worst concave points, mean concave points, worst texture, worst smoothness, radius error, worst concavity, worst symmetry, mean radius, mean texture, mean perimeter, mean area, mean smoothness, mean compactness, mean concavity, mean symmetry, mean fractal dimension, texture error, perimeter error, area error"
