Fold,Method,Top_K,Model,Accuracy,Precision,Recall,F1,ROC_AUC,Selected_Features
5,LASSO,10,Logistic Regression,0.9734513274336283,0.9722222222222222,0.9859154929577465,0.9790209790209791,0.9983232729711602,"worst radius, worst concave points, mean concave points, worst texture, radius error, worst smoothness, worst concavity, worst symmetry, mean texture, area error"
5,LASSO,10,Random Forest,0.9823008849557522,0.9859154929577465,0.9859154929577465,0.9859154929577465,0.9951374916163649,"worst radius, worst concave points, mean concave points, worst texture, radius error, worst smoothness, worst concavity, worst symmetry, mean texture, area error"
5,LASSO,10,XGBoost,0.9646017699115044,0.971830985915493,0.971830985915493,0.971830985915493,0.9902749832327297,"worst radius, worst concave points, mean concave points, worst texture, radius error, worst smoothness, worst concavity, worst symmetry, mean texture, area error"
1,LASSO,15,Logistic Regression,0.9473684210526315,0.9710144927536232,0.9436619718309859,0.9571428571428572,0.996069439895185,"worst radius, worst concave points, worst texture, radius error, mean concave points, worst smoothness, worst symmetry, area error, compactness error, concave points error, concavity error, fractal dimension error, mean area, mean compactness, mean concavity"
1,LASSO,15,Random Forest,0.956140350877193,0.9852941176470589,0.9436619718309859,0.9640287769784173,0.9978709466098918,"worst radius, worst concave points, worst texture, radius error, mean concave points, worst smoothness, worst symmetry, area error, compactness error, concave points error, concavity error, fractal dimension error, mean area, mean compactness, mean concavity"
1,LASSO,15,XGBoost,0.9649122807017544,0.9855072463768116,0.9577464788732394,0.9714285714285714,0.998689813298395,"worst radius, worst concave points, worst texture, radius error, mean concave points, worst smoothness, worst symmetry, area error, compactness error, concave points error, concavity error, fractal dimension error, mean area, mean compactness, mean concavity"
2,LASSO,15,Logistic Regression,0.9649122807017544,0.971830985915493,0.971830985915493,0.971830985915493,0.9963969865705863,"worst radius, worst concave points, worst texture, mean concave points, worst smoothness, radius error, worst symmetry, worst concavity, area error, compactness error, concave points error, concavity error, fractal dimension error, mean area, mean compactness"
2,LASSO,15,Random Forest,0.9649122807017544,0.971830985915493,0.971830985915493,0.971830985915493,0.9883720930232558,"worst radius, worst concave points, worst texture, mean concave points, worst smoothness, radius error, worst symmetry, worst concavity, area error, compactness error, concave points error, concavity error, fractal dimension error, mean area, mean compactness"
2,LASSO,15,XGBoost,0.9824561403508771,0.9859154929577465,0.9859154929577465,0.9859154929577465,0.99475925319358,"worst radius, worst concave points, worst texture, mean concave points, worst smoothness, radius error, worst symmetry, worst concavity, area error, compactness error, concave points error, concavity error, fractal dimension error, mean area, mean compactness"
3,LASSO,15,Logistic Regression,0.9736842105263158,0.9726027397260274,0.9861111111111112,0.9793103448275862,0.9867724867724867,"worst radius, worst concave points, worst texture, mean concave points, radius error, worst symmetry, worst smoothness, area error, compactness error, concave points error, concavity error, fractal dimension error, mean area, mean compactness, mean concavity"
3,LASSO,15,Random Forest,0.9649122807017544,0.9594594594594594,0.9861111111111112,0.9726027397260274,0.9900793650793651,"worst radius, worst concave points, worst texture, mean concave points, radius error, worst symmetry, worst smoothness, area error, compactness error, concave points error, concavity error, fractal dimension error, mean area, mean compactness, mean concavity"
3,LASSO,15,XGBoost,0.9649122807017544,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9914021164021164,"worst radius, worst concave points, worst texture, mean concave points, radius error, worst symmetry, worst smoothness, area error, compactness error, concave points error, concavity error, fractal dimension error, mean area, mean compactness, mean concavity"
4,LASSO,15,Logistic Regression,0.9736842105263158,0.9859154929577465,0.9722222222222222,0.9790209790209791,0.9993386243386243,"worst radius, worst concave points, mean concave points, worst texture, radius error, worst symmetry, worst smoothness, area error, compactness error, concave points error, concavity error, fractal dimension error, mean area, mean compactness, mean concavity"
4,LASSO,15,Random Forest,0.9385964912280702,1.0,0.9027777777777778,0.948905109489051,0.9932208994708995,"worst radius, worst concave points, mean concave points, worst texture, radius error, worst symmetry, worst smoothness, area error, compactness error, concave points error, concavity error, fractal dimension error, mean area, mean compactness, mean concavity"
4,LASSO,15,XGBoost,0.9649122807017544,1.0,0.9444444444444444,0.9714285714285714,1.0,"worst radius, worst concave points, mean concave points, worst texture, radius error, worst symmetry, worst smoothness, area error, compactness error, concave points error, concavity error, fractal dimension error, mean area, mean compactness, mean concavity"
5,LASSO,15,Logistic Regression,0.9911504424778761,0.9861111111111112,1.0,0.993006993006993,0.9986586183769282,"worst radius, worst concave points, mean concave points, worst texture, radius error, worst smoothness, worst concavity, worst symmetry, mean texture, area error, compactness error, concave points error, concavity error, fractal dimension error, mean area"
5,LASSO,15,Random Forest,0.9911504424778761,0.9861111111111112,1.0,0.993006993006993,0.9968142186452045,"worst radius, worst concave points, mean concave points, worst texture, radius error, worst smoothness, worst concavity, worst symmetry, mean texture, area error, compactness error, concave points error, concavity error, fractal dimension error, mean area"
5,LASSO,15,XGBoost,0.9646017699115044,0.958904109589041,0.9859154929577465,0.9722222222222222,0.994299128101945,"worst radius, worst concave points, mean concave points, worst texture, radius error, worst smoothness, worst concavity, worst symmetry, mean texture, area error, compactness error, concave points error, concavity error, fractal dimension error, mean area"
1,LASSO,20,Logistic Regression,0.956140350877193,0.9852941176470589,0.9436619718309859,0.9640287769784173,0.99737962659679,"worst radius, worst concave points, worst texture, radius error, mean concave points, worst smoothness, worst symmetry, area error, compactness error, concave points error, concavity error, fractal dimension error, mean area, mean compactness, mean concavity, mean fractal dimension, mean perimeter, mean radius, mean smoothness, mean symmetry"
